,VIN,type,brake_time_sec,brake_distance_ft,road_type,braking_score,brake_pressure20pct,brake_pressure40pct,brake_pressure60pct,brake_pressure80pct,brake_pressure100pct,abs_event,travel_speed
368,1G1FX6S08H4000029,quality,7.87,90.04,highway,177,1,1,1,0,0,0,60
377,1G1FX6S08H4000030,quality,5.14,59.37,main road,141,0,0,0,0,0,0,46
406,1G1FX6S08H4000031,quality,4.45,27.09,residential,196,1,1,1,0,0,0,29
1326,1G1RB6E41FU000047,distracted,3.2,54.64,main road,149,1,1,0,0,0,1,42
2876,1G1RB6E41FU000034,aggressive,5.03,63.06,highway,114,1,1,1,1,0,0,72
1367,1G1RB6E41FU000048,distracted,3,33.29,residential,124,0,0,0,0,0,0,21
1482,1G1FX6S08H4000003,distracted,3.66,64.85,main road,116,1,1,1,0,0,0,37
2411,1G1RB6E41FU000016,aggressive,5.32,63.29,highway,104,1,1,1,0,0,0,69
2704,1G1RB6E41FU000027,aggressive,2.29,18.4,residential,106,1,1,1,1,0,0,32
395,1G1FX6S08H4000030,quality,6.67,54.39,main road,187,0,0,0,0,0,0,45
1575,1G1FX6S08H4000007,distracted,3.55,30.29,residential,129,1,0,0,0,0,0,22
290,1G1FX6S08H4000027,quality,5.39,56.92,main road,156,0,0,0,0,0,0,47
583,1G1FX6S08H4000037,quality,4.1,29.87,residential,167,1,0,0,0,0,0,23
2794,1G1RB6E41FU000031,aggressive,4.6,58.31,highway,107,1,1,1,1,0,0,71
1940,1G1FX6S08H4000005,distracted,5.2,86.45,highway,132,1,1,1,1,0,1,56
2007,1G1RB6E41FU000001,aggressive,3.12,56.78,highway,88,1,1,1,1,0,0,71
2688,1G1RB6E41FU000027,aggressive,2.52,15.6,residential,121,0,0,0,0,0,0,35
772,1G1FX6S08H4000043,quality,3.61,34.93,residential,204,1,0,0,0,0,0,27
286,1G1FX6S08H4000027,quality,6.04,59.06,main road,194,1,0,0,0,0,0,48
1093,1G1RB6E41FU000038,distracted,3.76,55.49,main road,136,1,0,0,0,0,1,40
1257,1G1RB6E41FU000044,distracted,3.78,60.83,main road,126,1,1,1,0,0,1,41
