"type","brake_time_sec","brake_distance_ft","road_type","braking_score","brake_pressure20pct","brake_pressure40pct","brake_pressure60pct","brake_pressure80pct","brake_pressure100pct","abs_event","travel_speed"
"quality",7.87,90.04,"highway",177,1,1,1,0,0,0,60
"quality",5.14,59.37,"main road",141,0,0,0,0,0,0,46
"quality",4.45,27.09,"residential",196,1,1,1,0,0,0,29
"distracted",3.2,54.64,"main road",149,1,1,0,0,0,1,42
"aggressive",5.03,63.06,"highway",114,1,1,1,1,0,0,72
"distracted",3,33.29,"residential",124,0,0,0,0,0,0,21
"distracted",3.66,64.85,"main road",116,1,1,1,0,0,0,37
"aggressive",5.32,63.29,"highway",104,1,1,1,0,0,0,69
"aggressive",2.29,18.4,"residential",106,1,1,1,1,0,0,32
"quality",6.67,54.39,"main road",187,0,0,0,0,0,0,45
"distracted",3.55,30.29,"residential",129,1,0,0,0,0,0,22
"quality",5.39,56.92,"main road",156,0,0,0,0,0,0,47
"quality",4.1,29.87,"residential",167,1,0,0,0,0,0,23
"aggressive",4.6,58.31,"highway",107,1,1,1,1,0,0,71
"distracted",5.2,86.45,"highway",132,1,1,1,1,0,1,56
"aggressive",3.12,56.78,"highway",88,1,1,1,1,0,0,71
"aggressive",2.52,15.6,"residential",121,0,0,0,0,0,0,35
"quality",3.61,34.93,"residential",204,1,0,0,0,0,0,27
"quality",6.04,59.06,"main road",194,1,0,0,0,0,0,48
"distracted",3.76,55.49,"main road",136,1,0,0,0,0,1,40
"distracted",3.78,60.83,"main road",126,1,1,1,0,0,1,41
"distracted",4.61,60.97,"main road",107,1,0,0,0,0,0,40
"distracted",3.61,59.34,"main road",158,0,0,0,0,0,0,41
"aggressive",2.5,18.1,"residential",85,1,0,0,0,0,0,34
"aggressive",1.38,17.15,"residential",98,1,1,0,0,0,0,35
"distracted",3.17,33.17,"residential",132,1,1,0,0,0,0,24
"quality",8.11,90.47,"highway",176,1,1,1,0,0,0,61
"aggressive",1.82,46.51,"main road",76,1,1,1,1,0,0,52
"aggressive",2.26,23.84,"residential",69,0,0,0,0,0,0,35
"aggressive",5.2,58.6,"highway",113,1,1,1,1,0,0,73
"distracted",3.61,56.05,"main road",174,1,1,1,0,0,0,39
"aggressive",4.74,56.68,"highway",106,1,1,1,1,1,1,70
"quality",4.25,30.47,"residential",200,1,0,0,0,0,0,28
"aggressive",4.67,65.89,"highway",116,1,1,1,1,1,1,71
"quality",7.99,95.48,"highway",173,1,1,1,0,0,0,62
"quality",6.45,55.56,"main road",161,0,0,0,0,0,0,48
"distracted",3.81,28.53,"residential",145,1,0,0,0,0,1,18
"aggressive",4.44,54.4,"highway",117,1,1,1,1,1,1,71
"quality",4.06,32.96,"residential",166,0,0,0,0,0,0,26
"aggressive",3.02,47.31,"main road",108,1,1,1,0,0,0,54
"quality",4,28.84,"residential",171,1,1,1,0,0,0,28
"quality",4.18,33.3,"residential",133,0,0,0,0,0,0,27
"distracted",4.73,55.51,"main road",135,1,0,0,0,0,1,40
"distracted",3.17,57.47,"main road",131,1,0,0,0,0,1,43
"quality",8.19,88.43,"highway",174,1,1,1,0,0,0,59
"quality",3.86,31.64,"residential",196,1,1,0,0,0,0,25
"distracted",3.4,54.28,"main road",147,1,0,0,0,0,0,39
"distracted",4.34,52.26,"main road",147,1,0,0,0,0,1,36
"distracted",4.95,54.2,"main road",120,1,0,0,0,0,1,38
